sw,lw,pre,u10,vpd,lh,mean_2m_air_temperature,total_precipitation
89.443,305.288,86.443,0.953,4.017,60.8393,279.2624816894531,0.0056158527731895
121.112,261.369,86.694,0.788,4.624,59.7327,277.41973876953125,0.0
83.383,302.264,86.433,2.272,4.509,60.2099,278.2076416015625,1.4554709196090698e-05
61.972,306.279,86.177,1.353,4.028,62.386,280.0296325683594,0.0027397982776165
113.949,260.845,86.265,1.857,5.211,61.2027,280.1071472167969,0.0
119.423,247.715,86.401,1.68,5.227,62.1311,278.2099609375,0.0
110.042,273.717,86.651,1.982,5.402,64.9806,278.1794128417969,9.313225746154783e-10
84.273,288.37,86.409,1.679,5.746,63.7411,280.3430480957031,0.0013613570481538
25.951,319.116,86.007,1.764,4.494,63.564,278.9233703613281,0.0058294739574193
13.185,334.441,85.719,1.635,3.269,65.8158,279.8175354003906,0.0103618986904621
10.429,331.547,85.756,3.182,3.179,64.2737,279.84478759765625,0.0543058738112449
38.595,304.06,86.546,1.553,3.249,64.0596,276.2151794433594,0.0176880247890949
116.113,238.838,87.568,1.589,4.221,65.8611,272.9014892578125,0.0002615265548229
115.303,236.599,87.952,2.409,5.222,63.2393,274.8749694824219,0.0
112.924,237.672,87.989,2.595,5.391,61.714,277.8147277832031,1.6093254089355469e-06
108.474,240.137,87.848,1.867,5.15,62.3523,275.8863830566406,0.0
81.278,268.003,87.291,2.176,6.523,59.3477,277.118408203125,0.0
4.448,324.278,86.976,3.398,4.366,57.6609,278.8427429199219,0.0182414297014474
98.148,292.841,87.267,0.786,4.089,58.7804,276.3715515136719,0.0079601313918828
82.416,304.92,87.28,0.793,5.293,56.7279,276.9524230957031,4.517659544944763e-05
43.269,309.642,86.889,1.008,4.022,55.2306,278.17950439453125,0.0003321953117847
101.44,266.481,86.469,2.428,5.174,55.7121,278.9882507324219,0.0026513524353504
112.436,239.791,86.874,2.911,6.09,53.2165,278.6890563964844,0.0
95.676,269.051,86.656,1.451,4.847,51.823,277.3326110839844,0.0012022852897644
113.681,235.78,86.439,2.396,4.647,52.7886,275.6555480957031,0.0044240336865186
114.172,225.358,86.666,3.336,5.609,51.4341,275.4181213378906,4.071742296218872e-06
113.557,231.884,86.981,2.127,5.06,51.0325,274.73211669921875,0.0
112.201,223.732,86.892,2.577,5.067,52.0752,275.59228515625,8.016824722290039e-06
